"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4608","openSauceDemo","Surefire suite","Sat Apr 11 04:55:00 UTC 2026","passed","Sat Apr 11 04:55:05 UTC 2026","tests.SampleTest","Surefire test","tests.SampleTest","openSauceDemo"
"","104","verifySauceDemo","Surefire suite","Sat Apr 11 04:55:05 UTC 2026","passed","Sat Apr 11 04:55:05 UTC 2026","tests.SecondTest","Surefire test","tests.SecondTest","verifySauceDemo"
