"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6311","openSauceDemo","Surefire suite","Tue May 19 06:48:17 UTC 2026","passed","Tue May 19 06:48:23 UTC 2026","tests.SampleTest","Surefire test","tests.SampleTest","openSauceDemo"
"","116","verifySauceDemo","Surefire suite","Tue May 19 06:48:23 UTC 2026","passed","Tue May 19 06:48:24 UTC 2026","tests.SecondTest","Surefire test","tests.SecondTest","verifySauceDemo"
