"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","114","openSauceDemo","Surefire suite","Sun Dec 21 04:00:10 UTC 2025","passed","Sun Dec 21 04:00:10 UTC 2025","tests.SampleTest","Surefire test","tests.SampleTest","openSauceDemo"
"","6639","verifySauceDemo","Surefire suite","Sun Dec 21 04:00:03 UTC 2025","passed","Sun Dec 21 04:00:09 UTC 2025","tests.SecondTest","Surefire test","tests.SecondTest","verifySauceDemo"
