"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20825","verifySauceDemo","Surefire suite","2026-09-25","passed","2026-09-25","tests.SecondTest","Surefire test","tests.SecondTest","verifySauceDemo"
"","177","openSauceDemo","Surefire suite","2026-09-25","passed","2026-09-25","tests.SampleTest","Surefire test","tests.SampleTest","openSauceDemo"
