"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","101","verifySauceDemo","Surefire suite","Fri Aug 22 03:40:19 UTC 2025","passed","Fri Aug 22 03:40:19 UTC 2025","tests.SecondTest","Surefire test","tests.SecondTest","verifySauceDemo"
"","8938","openSauceDemo","Surefire suite","Fri Aug 22 03:40:10 UTC 2025","passed","Fri Aug 22 03:40:19 UTC 2025","tests.SampleTest","Surefire test","tests.SampleTest","openSauceDemo"
