"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8412","verifySauceDemo","Surefire suite","Thu Oct 02 03:29:00 UTC 2025","passed","Thu Oct 02 03:29:09 UTC 2025","tests.SecondTest","Surefire test","tests.SecondTest","verifySauceDemo"
"","97","openSauceDemo","Surefire suite","Thu Oct 02 03:29:09 UTC 2025","passed","Thu Oct 02 03:29:09 UTC 2025","tests.SampleTest","Surefire test","tests.SampleTest","openSauceDemo"
