"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6425","openSauceDemo","Surefire suite","2026-09-11","passed","2026-09-11","tests.SampleTest","Surefire test","tests.SampleTest","openSauceDemo"
"","107","verifySauceDemo","Surefire suite","2026-09-11","passed","2026-09-11","tests.SecondTest","Surefire test","tests.SecondTest","verifySauceDemo"
